id_A,id_B,predicted_match,hotel_name,address,city,country,latitude,longitude,rating,reviews_count,enriched_category_stars,enriched_review_score,enriched_amenities
A00092,B00081,1,Inn Paulista,Praça Augusta 7997,Madrid,ES,40.423421,-3.706885,4.0,784.0,5.0,8.8,"pool, gym, wifi, restaurant, pet_friendly"
A00105,B00094,1,Residency Gaudí Saint,"Avenue Europa, 2157",Madrid,ES,40.50898,-3.68218,4.1,565.0,5.0,9.6,"gym, bar, pet_friendly, spa, air_conditioning"
A00121,B00110,1,Residency Lumière II,"Avenida da República, 8718",Madrid,ES,40.510734,-3.687204,4.4,199.0,5.0,7.4,"pet_friendly, pool, restaurant"
A00131,B00120,1,Suites Paulista Saint,"Rua Central, 4671",Madrid,ES,40.359691,-3.783282,3.6,500.0,5.0,9.4,"gym, bar, wifi, parking, air_conditioning, pet_friendly"
A00144,B00133,1,Hotel Cathedral,Avenue Liberdade 4243,Madrid,ES,40.335758,-3.613277,3.4,243.0,5.0,8.4,"wifi, parking, gym, air_conditioning"
A00146,B00135,1,Pousada Augusta II,"Rua Europa, 1388",Madrid,ES,40.434808,-3.698071,3.3,434.0,4.0,8.8,"restaurant, bar, pool, gym, pet_friendly"
A00158,B00147,1,Pousada Seine II Boutique,"Avenue Copacabana, 4347",Madrid,ES,40.394936,-3.630906,5.0,405.0,4.0,9.4,"pet_friendly, spa, wifi, bar, pool, parking"
A00169,B00158,1,Residency Copacabana,"Rua Central, 9883",Madrid,ES,40.351516,-3.66351,4.7,1147.0,4.0,9.5,"pool, spa, gym, pet_friendly, wifi, air_conditioning"
A00179,B00168,1,Hotel Copacabana,"Avenida Augusta, 5384",Madrid,ES,40.471925,-3.726441,4.8,645.0,5.0,7.7,"pet_friendly, spa, wifi, air_conditioning, bar, gym"
A00193,B00182,1,Hotel Cathedral St. Boutique,"Praça Paulista, 1389",Madrid,ES,40.426488,-3.750702,3.3,1.0,5.0,9.3,"pool, pet_friendly, spa, air_conditioning"
A00201,B00190,1,Pousada Seine,"Ave Central, 1101",Madrid,ES,40.435812,-3.701495,4.3,194.0,3.0,9.1,"gym, wifi, pet_friendly, pool, spa, parking"
A00204,B00193,1,Palace Gaudí Saint,"Avenida Central, 208",Madrid,ES,40.30086,-3.726466,3.6,764.0,3.0,9.6,"parking, restaurant, spa"
A00213,B00202,1,Palace Central II,"Avenida Paulista, 6165",Madrid,ES,40.480137,-3.755085,2.9,338.0,5.0,8.7,"wifi, parking, spa, pet_friendly, bar, pool"
A00232,B00221,1,Hotel Europa II,"Avenue Augusta, 8896",Madrid,ES,40.417315,-3.610665,4.9,413.0,4.0,9.4,"bar, gym, wifi, pet_friendly, parking, spa"
A00235,B00224,1,Hotel Europa,"Rua Paulista, 6589",Madrid,ES,40.400895,-3.725425,4.6,342.0,5.0,7.9,"bar, restaurant, gym, spa"
A00251,B00240,1,Inn Lumière II,"Rua das Flores, 7805",Madrid,ES,40.456647,-3.734317,4.3,292.0,3.0,9.2,"parking, spa, restaurant"
